codigo_edificio,numero_departamento,codigo_unidad,estatus,observaciones
B08,D04,ALB-B08-D04,ACTIVA,PROVISIONAL
B08,D05,ALB-B08-D05,ACTIVA,PROVISIONAL
B08,D06,ALB-B08-D06,ACTIVA,PROVISIONAL
B09,D01,ALB-B09-D01,ACTIVA,PROVISIONAL
B09,D02,ALB-B09-D02,ACTIVA,PROVISIONAL
B09,D03,ALB-B09-D03,ACTIVA,PROVISIONAL
B09,D04,ALB-B09-D04,ACTIVA,PROVISIONAL
B09,D05,ALB-B09-D05,ACTIVA,PROVISIONAL
B09,D06,ALB-B09-D06,ACTIVA,PROVISIONAL
B10,D01,ALB-B10-D01,ACTIVA,PROVISIONAL
B10,D02,ALB-B10-D02,ACTIVA,PROVISIONAL
B10,D03,ALB-B10-D03,ACTIVA,PROVISIONAL
B10,D04,ALB-B10-D04,ACTIVA,PROVISIONAL
B10,D05,ALB-B10-D05,ACTIVA,PROVISIONAL
B10,D06,ALB-B10-D06,ACTIVA,PROVISIONAL
B11,D01,ALB-B11-D01,ACTIVA,PROVISIONAL
B11,D02,ALB-B11-D02,ACTIVA,PROVISIONAL
B11,D03,ALB-B11-D03,ACTIVA,PROVISIONAL
B11,D04,ALB-B11-D04,ACTIVA,PROVISIONAL
B11,D05,ALB-B11-D05,ACTIVA,PROVISIONAL
B11,D06,ALB-B11-D06,ACTIVA,PROVISIONAL
B12,D01,ALB-B12-D01,ACTIVA,PROVISIONAL
B12,D02,ALB-B12-D02,ACTIVA,PROVISIONAL
B12,D03,ALB-B12-D03,ACTIVA,PROVISIONAL
B12,D04,ALB-B12-D04,ACTIVA,PROVISIONAL
B12,D05,ALB-B12-D05,ACTIVA,PROVISIONAL
B12,D06,ALB-B12-D06,ACTIVA,PROVISIONAL
B13,D01,ALB-B13-D01,ACTIVA,PROVISIONAL
B13,D02,ALB-B13-D02,ACTIVA,PROVISIONAL
B13,D03,ALB-B13-D03,ACTIVA,PROVISIONAL
B13,D04,ALB-B13-D04,ACTIVA,PROVISIONAL
B13,D05,ALB-B13-D05,ACTIVA,PROVISIONAL
B13,D06,ALB-B13-D06,ACTIVA,PROVISIONAL
B14,D01,ALB-B14-D01,ACTIVA,PROVISIONAL
B14,D02,ALB-B14-D02,ACTIVA,PROVISIONAL
B14,D03,ALB-B14-D03,ACTIVA,PROVISIONAL
B14,D04,ALB-B14-D04,ACTIVA,PROVISIONAL
B14,D05,ALB-B14-D05,ACTIVA,PROVISIONAL
B14,D06,ALB-B14-D06,ACTIVA,PROVISIONAL
B15,D01,ALB-B15-D01,ACTIVA,PROVISIONAL
B15,D02,ALB-B15-D02,ACTIVA,PROVISIONAL
B15,D03,ALB-B15-D03,ACTIVA,PROVISIONAL
B15,D04,ALB-B15-D04,ACTIVA,PROVISIONAL
B15,D05,ALB-B15-D05,ACTIVA,PROVISIONAL
B15,D06,ALB-B15-D06,ACTIVA,PROVISIONAL
B16,D01,ALB-B16-D01,ACTIVA,PROVISIONAL
B16,D02,ALB-B16-D02,ACTIVA,PROVISIONAL
B16,D03,ALB-B16-D03,ACTIVA,PROVISIONAL
B16,D04,ALB-B16-D04,ACTIVA,PROVISIONAL
B16,D05,ALB-B16-D05,ACTIVA,PROVISIONAL
B16,D06,ALB-B16-D06,ACTIVA,PROVISIONAL
B17,D01,ALB-B17-D01,ACTIVA,PROVISIONAL
B17,D02,ALB-B17-D02,ACTIVA,PROVISIONAL
B17,D03,ALB-B17-D03,ACTIVA,PROVISIONAL
B17,D04,ALB-B17-D04,ACTIVA,PROVISIONAL
B17,D05,ALB-B17-D05,ACTIVA,PROVISIONAL
B17,D06,ALB-B17-D06,ACTIVA,PROVISIONAL
B18,D01,ALB-B18-D01,ACTIVA,PROVISIONAL
B18,D02,ALB-B18-D02,ACTIVA,PROVISIONAL
B18,D03,ALB-B18-D03,ACTIVA,PROVISIONAL
B18,D04,ALB-B18-D04,ACTIVA,PROVISIONAL
B18,D05,ALB-B18-D05,ACTIVA,PROVISIONAL
B18,D06,ALB-B18-D06,ACTIVA,PROVISIONAL
B19,D01,ALB-B19-D01,ACTIVA,PROVISIONAL
B19,D02,ALB-B19-D02,ACTIVA,PROVISIONAL
B19,D03,ALB-B19-D03,ACTIVA,PROVISIONAL
B19,D04,ALB-B19-D04,ACTIVA,PROVISIONAL
B19,D05,ALB-B19-D05,ACTIVA,PROVISIONAL
B19,D06,ALB-B19-D06,ACTIVA,PROVISIONAL
B20,D01,ALB-B20-D01,ACTIVA,PROVISIONAL
B20,D02,ALB-B20-D02,ACTIVA,PROVISIONAL
B20,D03,ALB-B20-D03,ACTIVA,PROVISIONAL
B20,D04,ALB-B20-D04,ACTIVA,PROVISIONAL
B20,D05,ALB-B20-D05,ACTIVA,PROVISIONAL
B20,D06,ALB-B20-D06,ACTIVA,PROVISIONAL
